epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,994.792,1.1917,1.99348,1.49003,0.80428,0.77937,0.83085,0.58349,1.0213,0.83803,1.39476,0.0683579,0.00166537,0.00166537
2,1978.5,1.09685,1.22618,1.39332,0.83216,0.77704,0.8286,0.57272,1.054,0.81784,1.42201,0.0366659,0.00330667,0.00330667
3,2960.55,1.12606,1.22884,1.41736,0.82991,0.77347,0.84384,0.59204,1.02307,0.78544,1.39824,0.00494843,0.00492257,0.00492257
4,3940.18,1.12852,1.20376,1.41651,0.86761,0.78317,0.86622,0.61532,0.99826,0.71216,1.38482,0.00488577,0.00488577,0.00488577
5,4919.12,1.1058,1.14511,1.40453,0.86051,0.81414,0.87802,0.63693,0.96782,0.68166,1.34926,0.00484769,0.00484769,0.00484769
