epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1366.34,3.5805,4.80281,0,0.86149,0.01369,0.01026,0.00222,2.7215,3.86225,0,0.0683579,0.00166537,0.00166537
2,2719.89,2.38462,3.93999,0,0.21929,0.15419,0.08274,0.02022,2.05164,2.83727,0,0.0366659,0.00330667,0.00330667
3,4072.5,1.92194,3.11132,0,0.22647,0.20632,0.13752,0.03306,1.71016,2.12622,0,0.00494843,0.00492257,0.00492257
4,5423.71,1.7417,2.69402,0,0.24874,0.22827,0.14716,0.03262,1.60837,1.90451,0,0.00488577,0.00488577,0.00488577
5,6773.08,1.64107,2.43747,0,0.27475,0.26655,0.17478,0.04065,1.46818,1.58513,0,0.00484769,0.00484769,0.00484769
6,8122.17,1.574,2.22985,0,0.3125,0.28367,0.18758,0.04276,1.42443,1.42427,0,0.00480962,0.00480962,0.00480962
